
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    8760 Console                    2   2,31,084 K
chrome.exe                   17864 Console                    2      9,296 K
chrome.exe                    3128 Console                    2   1,51,712 K
chrome.exe                    7888 Console                    2     64,284 K
chrome.exe                   17184 Console                    2     22,368 K
ChatGPT Classic.exe          19440 Console                    2   1,77,820 K
ChatGPT Classic.exe           7844 Console                    2     38,648 K
ChatGPT Classic.exe           1656 Console                    2   2,16,916 K
ChatGPT Classic.exe           9556 Console                    2     65,568 K
M365Copilot.exe              14864 Console                    2   1,21,524 K
ChatGPT Classic.exe          16452 Console                    2   8,03,140 K
RuntimeBroker.exe             7592 Console                    2     24,596 K
msedgewebview2.exe            6464 Console                    2     22,216 K
msedgewebview2.exe            9668 Console                    2     16,076 K
msedgewebview2.exe            2688 Console                    2     10,116 K
msedgewebview2.exe           16376 Console                    2     15,244 K
msedgewebview2.exe            7288 Console                    2      6,796 K
msedgewebview2.exe            9932 Console                    2      7,784 K
chrome.exe                    6972 Console                    2     26,396 K
chrome.exe                   17456 Console                    2     61,808 K
OneDrive.exe                 17848 Console                    2     79,156 K
OneDrive.Sync.Service.exe     8592 Console                    2     59,360 K
ShellExperienceHost.exe       2576 Console                    2     87,900 K
RuntimeBroker.exe             9988 Console                    2     34,212 K
LockApp.exe                  12400 Console                    2     80,072 K
RuntimeBroker.exe            15752 Console                    2     44,796 K
svchost.exe                  10564 Console                    2     17,992 K
FileCoAuth.exe               11348 Console                    2     26,396 K
svchost.exe                  16172 Services                   0      8,684 K
powershell.exe               12844 Console                    2     77,396 K
conhost.exe                   8452 Console                    2     10,216 K
OpenConsole.exe              17748 Console                    2     19,740 K
WindowsTerminal.exe          10200 Console                    2     94,192 K
chrome.exe                   11852 Console                    2   2,09,708 K
chrome.exe                   13544 Console                    2   2,69,916 K
chrome.exe                    8628 Console                    2     48,052 K
chrome.exe                    4940 Console                    2     68,992 K
chrome.exe                   10756 Console                    2   1,75,980 K
chrome.exe                    5936 Console                    2   1,17,016 K
chrome.exe                    2676 Console                    2     27,504 K
LITSSvc.exe                   8388 Console                    2     10,756 K
Photos.exe                   13520 Console                    2   2,68,080 K
Photos.exe                   10476 Console                    2   1,17,228 K
AppActions.exe                9812 Console                    2     54,360 K
python.exe                   13768 Console                    2     18,260 K
cmd.exe                       6240 Console                    2      7,584 K
tasklist.exe                 11780 Console                    2     12,644 K
WmiPrvSE.exe                 12008 Services                   0     15,104 K
